('卡士有机原态118g', 'GOODS156', '6924810822352'),
('晨光酸牛奶236ml', 'GOODS158', '6924686500118'),
('晨光玻璃瓶装酸奶206g', 'GOODS159', '6924686502204'),
('光明畅优酸牛奶原味190g', 'GOODS161', '6930953013007'),
('香满楼法式凝酪酸牛奶160g', 'GOODS166', '6907853030106'),
('香满楼本味酸牛奶160g', 'GOODS167', '6907853020145'),
('君乐宝老酸奶原味139g', 'GOODS172', '6922577704188'),
('伊利益消原味450g', 'GOODS177', '6907992103051'),
('温氏发酵乳凝固酸牛奶（玻璃瓶装）195g', 'GOODS71', '6933088615351'),
('温氏原味酸奶150g', 'GOODS72', '6933088615276'),
('明治保加利亚LB81清甜原味180g', 'GOODS75', '6957456420101'),
('明治保加利亚LB81香滑奶油味100g', 'GOODS76', '6957456420187'),
('明治保加利亚式低脂肪酸奶清甜原味100g', 'GOODS77', '6957456420231'),
('多牧多北京风味发酵酸奶纯白原味195g', 'GOODS78', '6923995166855'),
('简爱裸酸奶发酵乳120g', 'GOODS84', '6936003080722'),
('圣牧有机沙棘酸牛奶200g', 'GOODS136', '6970011880141'),
('圣牧有机沙棘浓缩酸奶240g', 'GOODS138', '6970011880493'),
('光明一只椰子250ml', 'GOODS165', '6901209213830'),
('新希望V美香蕉牛奶饮品（常温）300ml', 'GOODS168', '6941704408478'),
('新希望V美椰子牛奶饮品（常温）300ml', 'GOODS169', '6941704409246'),
('新希望益生菌蓝莓牛奶饮品（常温）300ml', 'GOODS170', '6941704404500'),
('新希望益生菌草莓牛奶饮品（常温）300ml', 'GOODS171', '6941704404487'),
('苹果（单个装）', 'GOODS198', '2100000198009'),
('云南野苹果（4个装）', 'GOODS199', '2100000199006'),
('进口香蕉（单根装）', 'GOODS200', '2100000200009'),
('柠檬（2个装）', 'GOODS201', '2100000201006'),
('樱桃番茄300g', 'GOODS202', '2100000202003'),
('黑旋风葡萄500g', 'GOODS203', '2100000203000'),
('户太八号葡萄500g', 'GOODS204', '2100000204007'),
('赣南脐橙（4个装）', 'GOODS205', '2100000205004'),
('牛油果（单个装）', 'GOODS206', '2100000206001'),
('沙糖桔500g', 'GOODS207', '2100000207008'),
('百香果（4个装）', 'GOODS208', '2100000208005'),
